symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap,changeOverTime,changePercent,label,change
SPY,2018-06-05,275.05,275.53,274.18,275.1,252.625839,51342114,51135000,275.02,0.0001817851,0.01817851,"June 05, 18",0.05
SPY,2018-06-06,275.79,277.52,275.09,277.4,254.737961,62930853,62732200,276.48,0.0058378,0.58378,"June 06, 18",1.61
SPY,2018-06-07,277.95,278.28,276.34,277.37,254.710434,73140450,72969400,277.31,-0.0020867,-0.20867,"June 07, 18",-0.58
SPY,2018-06-08,276.85,278.25,276.66,278.19,255.463486,72513288,72139700,277.71,0.0048402,0.48402,"June 08, 18",1.34
SPY,2018-06-11,278.44,279.37,278.31,278.56,255.803223,59067950,58892500,278.75,0.0004309726,0.04309726,"June 11, 18",0.12
SPY,2018-06-12,279.03,279.33,278.19,278.92,256.133789,71440211,72329000,278.83,-0.0003942228,-0.03942228,"June 12, 18",-0.11
SPY,2018-06-13,279.19,279.48,277.8,278.03,255.316467,79284414,79070600,278.69,-0.0041549,-0.41549,"June 13, 18",-1.16
SPY,2018-06-14,279.01,279.33,278.0599,278.73,255.959305,77324634,77097600,278.67,-0.0010035,-0.10035,"June 14, 18",-0.28
SPY,2018-06-15,276.6,277.51,275.35,277.13,255.632782,120462750,120041600,276.76,0.0019161,0.19161,"June 15, 18",0.53
SPY,2018-06-18,275.49,276.7,274.95,276.56,255.106949,53105017,52917600,276.15,0.003884,0.3884,"June 18, 18",1.07
SPY,2018-06-19,274,275.75,273.53,275.5,254.129196,97791023,97531500,274.93,0.0054745,0.54745,"June 19, 18",1.5
SPY,2018-06-20,276.27,276.72,275.59,275.97,254.562805,53928410,53785500,276.07,-0.0010859,-0.10859,"June 20, 18",-0.3
SPY,2018-06-21,275.96,275.98,273.68,274.24,252.966949,71458591,71061400,274.65,-0.0062328,-0.62328,"June 21, 18",-1.72
SPY,2018-06-22,275.66,275.785,274.49,274.74,253.428131,56139457,54898500,275.12,-0.0033374,-0.33374,"June 22, 18",-0.92
SPY,2018-06-25,273.44,273.6162,269.1,271,249.978287,138012285,137854200,271.2,-0.0089233,-0.89233,"June 25, 18",-2.44
SPY,2018-06-26,271.64,272.56,270.79,271.6,250.53183,68874199,68547400,271.73,-0.0001472537,-0.01472537,"June 26, 18",-0.04
SPY,2018-06-27,272.26,273.865,269.18,269.35,248.456299,105388356,105110700,271.11,-0.0107,-1.07,"June 27, 18",-2.91
SPY,2018-06-28,269.29,271.75,268.49,270.89,249.876846,76856283,76650500,270.03,0.0059416,0.59416,"June 28, 18",1.6
SPY,2018-06-29,272.12,273.66,271.19,271.28,250.236557,97816923,97592500,272.08,-0.0030869,-0.30869,"June 29, 18",-0.84
SPY,2018-07-02,269.51,272.04,269.24,271.86,250.771591,63812987,63554800,270.69,0.0087195,0.87195,"July 02, 18",2.35
SPY,2018-07-03,272.87,272.98,270.42,270.9,249.886032,42470285,42187100,271.72,-0.0072196,-0.72196,"July 03, 18",-1.97
SPY,2018-07-05,272.17,273.18,270.96,273.11,251.924667,57151450,56925900,272.25,0.0034537,0.34537,"July 05, 18",0.94
SPY,2018-07-06,273.14,275.84,272.715,275.42,254.055405,66644432,66493700,274.92,0.0083474,0.83474,"July 06, 18",2.28
SPY,2018-07-09,276.55,277.96,276.5,277.9,256.343109,50625430,50550400,277.22,0.0048816,0.48816,"July 09, 18",1.35
SPY,2018-07-10,278.41,279.01,278.08,278.9,257.265472,52185025,51966800,278.58,0.00176,0.176,"July 10, 18",0.49
SPY,2018-07-11,277.15,278.04,276.52,276.86,255.383713,77359934,77054700,277.26,-0.0010464,-0.10464,"July 11, 18",-0.29
SPY,2018-07-12,278.28,279.43,277.6,279.37,257.699066,60417129,60124700,278.72,0.0039169,0.39169,"July 12, 18",1.09
SPY,2018-07-13,279.17,279.93,278.66,279.59,257.901947,48437788,48216000,279.53,0.0015045,0.15045,"July 13, 18",0.42
SPY,2018-07-16,279.64,279.803,278.84,279.34,257.671356,48377670,48201000,279.31,-0.0010728,-0.10728,"July 16, 18",-0.3
SPY,2018-07-17,278.47,280.91,278.41,280.47,258.713654,52474624,52315500,280.02,0.0071821,0.71821,"July 17, 18",2
SPY,2018-07-18,280.56,281.18,280.06,281.06,259.257965,44778682,44593500,280.8,0.0017821,0.17821,"July 18, 18",0.5
SPY,2018-07-19,280.31,280.74,279.46,280,258.280182,61569471,61412100,280.15,-0.0011059,-0.11059,"July 19, 18",-0.31
SPY,2018-07-20,279.77,280.48,279.5,279.68,257.984924,82563215,82337700,279.87,-0.0003216928,-0.03216928,"July 20, 18",-0.09
SPY,2018-07-23,279.45,280.43,279.06,280.2,258.46463,47156372,47047600,279.91,0.0026838,0.26838,"July 23, 18",0.75
SPY,2018-07-24,281.79,282.56,280.63,281.61,259.765289,68195112,68026900,281.62,-0.0006387736,-0.06387736,"July 24, 18",-0.18
SPY,2018-07-25,281.33,284.37,281.28,284.01,261.979126,79037048,78882900,282.83,0.0095262,0.95262,"July 25, 18",2.68
SPY,2018-07-26,283.2,284.11,283.09,283.34,261.360992,58239255,57919500,283.48,0.0004943503,0.04943503,"July 26, 18",0.14
SPY,2018-07-27,283.71,283.82,280.38,281.42,259.589996,77042196,76768700,281.8,-0.0080716,-0.80716,"July 27, 18",-2.29
SPY,2018-07-30,281.51,281.69,279.36,279.95,258.234009,63898767,63742500,280.28,-0.0055415,-0.55415,"July 30, 18",-1.56
SPY,2018-07-31,280.81,282.02,280.38,281.33,259.506958,68880711,68570500,281.22,0.0018518,0.18518,"July 31, 18",0.52
SPY,2018-08-01,281.56,282.13,280.1315,280.86,259.073395,54033123,53853300,281.08,-0.0024861,-0.24861,"August 01, 18",-0.7
SPY,2018-08-02,279.39,282.58,279.16,282.39,260.484863,63613394,63426400,281.49,0.0107,1.07,"August 02, 18",3
SPY,2018-08-03,282.53,283.6577,282.33,283.6,261.600891,54077059,53935400,283.2,0.0037872,0.37872,"August 03, 18",1.07
SPY,2018-08-06,283.64,284.99,283.2015,284.64,262.560303,39591236,39400900,284.36,0.0035256,0.35256,"August 06, 18",1
SPY,2018-08-07,285.39,286.01,285.24,285.58,263.427338,43457492,43196600,285.63,0.0006657556,0.06657556,"August 07, 18",0.19
SPY,2018-08-08,285.39,285.91,284.94,285.46,263.31662,42110077,42114600,285.48,0.0002452784,0.02452784,"August 08, 18",0.07
SPY,2018-08-09,285.53,285.97,284.915,285.07,262.956848,35899579,35717000,285.47,-0.001611,-0.1611,"August 09, 18",-0.46
SPY,2018-08-10,283.45,284.055,282.36,283.16,261.195038,77325298,77076000,283.35,-0.0010231,-0.10231,"August 10, 18",-0.29
SPY,2018-08-13,283.47,284.16,281.77,282.1,260.217224,65938817,65732900,282.69,-0.004833,-0.4833,"August 13, 18",-1.37
SPY,2018-08-14,282.92,284.17,282.4833,283.9,261.877716,44078515,43842000,283.6,0.0034639,0.34639,"August 14, 18",0.98
SPY,2018-08-15,282.38,282.54,280.16,281.78,259.922089,103107115,102925400,281.36,-0.0021248,-0.21248,"August 15, 18",-0.6
SPY,2018-08-16,283.4,285.04,283.36,284.06,262.025208,70302880,69967900,284.01,0.0023289,0.23289,"August 16, 18",0.66
SPY,2018-08-17,283.83,285.5601,283.37,285.06,262.947632,65819026,65618500,284.6,0.0043336,0.43336,"August 17, 18",1.23
SPY,2018-08-20,285.57,285.97,285.06,285.67,263.510345,40020020,39807500,285.57,0.0003501768,0.03501768,"August 20, 18",0.1
SPY,2018-08-21,286.25,287.31,286.105,286.34,264.128387,67442074,67272000,286.58,0.0003144105,0.03144105,"August 21, 18",0.09
SPY,2018-08-22,285.88,286.76,285.575,286.17,263.971558,45255336,44993300,286.23,0.0010144,0.10144,"August 22, 18",0.29
SPY,2018-08-23,285.97,286.94,285.43,285.79,263.620972,49483992,49204900,286,-0.0006294367,-0.06294367,"August 23, 18",-0.18
SPY,2018-08-24,286.44,287.67,286.38,287.51,265.207611,57634273,57487400,287.23,0.0037355,0.37355,"August 24, 18",1.07
SPY,2018-08-27,288.86,289.9,288.68,289.78,267.301514,57303719,57072400,289.29,0.0031849,0.31849,"August 27, 18",0.92
SPY,2018-08-28,290.3,290.4175,289.4,289.92,267.430695,47158519,46943500,289.88,-0.001309,-0.1309,"August 28, 18",-0.38
SPY,2018-08-29,290.16,291.74,289.8854,291.48,268.869659,61687318,61485500,291.05,0.0045492,0.45492,"August 29, 18",1.32
SPY,2018-08-30,290.94,291.36,289.63,290.3,267.781189,61462289,61229500,290.64,-0.0021998,-0.21998,"August 30, 18",-0.64
SPY,2018-08-31,289.84,290.81,289.29,290.31,267.790344,66292507,66140800,290.09,0.0016216,0.16216,"August 31, 18",0.47
SPY,2018-09-04,289.84,290.21,288.68,289.81,267.329163,57858173,57594400,289.56,-0.0001035054,-0.01035054,"September 04, 18",-0.03
SPY,2018-09-05,289.41,289.64,287.89,289.03,266.60968,72653823,72452400,288.93,-0.001313,-0.1313,"September 05, 18",-0.38
SPY,2018-09-06,289.15,289.49,287,288.16,265.80719,66077806,65909900,288.12,-0.0034238,-0.34238,"September 06, 18",-0.99
